Symbol,Sector,Historical Score,Peer Score,Quality Score,Promoter Holding %,FII + DII %,Final Score
PETRONET,"Oil, Gas & Consumable Fuels",15.0,24.0,13,50.0,39.75,52.0
TIMETECHNO,Capital Goods,21.0,20.0,11,47.51,28.36,52.0
ASAHIINDIA,Automobile and Auto Components,24.0,13.7,14,51.58,10.13,51.7
3MINDIA,Diversified,13.6,22.0,16,75.0,11.89,51.6
ESABINDIA,Capital Goods,4.5,33.6,13,73.72,14.44,51.1
MAFATIND,Textiles,17.0,19.0,15,69.32,0.75,51.0
HINDZINC,Metals & Mining,5.0,31.0,15,61.84,6.22,51.0
IRCTC,Consumer Services,5.0,31.0,15,62.4,21.21,51.0
BHARTIARTL,Telecommunication,19.0,22.0,10,48.87,48.29,51.0
SUNDRMFAST,Automobile and Auto Components,19.0,20.0,12,46.94,33.85,51.0
ZENSARTECH,Information Technology,18.0,21.0,12,49.01,34.92,51.0
COLPAL,Fast Moving Consumer Goods,4.0,36.0,11,51.0,28.68,51.0
SJS,Automobile and Auto Components,4.0,36.0,11,21.18,46.02,51.0
JOSTS,Capital Goods,12.0,24.0,15,48.06,0.05,51.0
SUNTV,"Media, Entertainment & Publication",7.0,29.0,15,75.0,17.11,51.0
DAMCAPITAL,Financial Services,10.0,29.7,11,40.0,11.6,50.7
DOLLAR,Textiles,17.6,20.0,13,72.21,5.57,50.6
GLAND,Healthcare,13.6,24.0,13,51.83,40.57,50.6
CYIENT,Information Technology,23.0,15.0,12,23.28,54.79,50.0
BAJAJHLDNG,Financial Services,14.0,22.0,14,51.46,17.57,50.0
MUFTI,Consumer Services,4.0,29.0,17,55.01,2.79,50.0
NAVINFLUOR,Chemicals,16.0,24.0,10,27.11,51.83,50.0
ACC,Construction Materials,18.0,18.0,14,56.69,27.36,50.0
GPPL,Services,13.0,25.0,12,44.01,35.97,50.0
DBCORP,"Media, Entertainment & Publication",12.0,20.0,18,74.25,16.44,50.0
REDTAPE,Consumer Durables,3.0,32.0,15,71.79,14.76,50.0
GAIL,"Oil, Gas & Consumable Fuels",18.0,18.0,14,51.88,33.83,50.0
INDIASHLTR,Financial Services,6.5,33.3,10,47.6,28.2,49.8
LEMONTREE,Consumer Services,17.0,21.7,11,22.28,40.95,49.7
LIKHITHA,Construction,3.5,29.0,17,70.25,0.22,49.5
FORTIS,Healthcare,27.0,11.4,11,31.17,57.17,49.4
RITES,Construction,8.0,25.0,16,72.2,12.09,49.0
JINDWORLD,Textiles,16.0,15.0,18,61.77,0.23,49.0
CHEMBOND,Chemicals,18.0,15.0,16,67.72,1.35,49.0
CENTURYPLY,Consumer Durables,16.0,19.0,14,72.64,22.46,49.0
INSECTICID,Chemicals,17.0,19.0,13,72.3,13.86,49.0
DLF,Realty,12.0,22.0,15,74.08,20.6,49.0
LAURUSLABS,Healthcare,18.0,21.0,10,27.49,38.94,49.0
JUSTDIAL,Consumer Services,12.0,23.0,14,74.15,14.92,49.0
HEROMOTOCO,Automobile and Auto Components,11.0,27.0,11,34.73,55.71,49.0
ASTERDM,Healthcare,23.0,18.0,8,40.39,44.58,49.0
HDFCLIFE,Financial Services,17.0,19.0,13,50.21,39.5,49.0
USHAMART,Capital Goods,14.0,23.0,12,40.52,28.73,49.0
BALUFORGE,Capital Goods,3.0,34.0,12,53.99,8.3,49.0
JUBLCPL,Chemicals,2.5,31.0,15,74.37,0.39,48.5
CELLO,Consumer Durables,3.5,29.0,16,75.0,18.78,48.5
KRN,Capital Goods,2.5,31.0,15,70.79,11.66,48.5
SANSTAR,Fast Moving Consumer Goods,3.0,29.3,16,70.38,0.02,48.3
CGPOWER,Capital Goods,13.0,24.0,11,56.36,29.54,48.0
ABB,Capital Goods,3.0,31.0,14,75.0,16.79,48.0
MINDACORP,Automobile and Auto Components,13.0,20.0,15,64.84,27.52,48.0
SRF,Chemicals,16.0,20.0,12,50.26,37.66,48.0
BLUEDART,Services,15.0,17.0,16,75.0,17.76,48.0
RVNL,Construction,17.0,18.0,13,72.84,11.34,48.0
BAJAJCON,Fast Moving Consumer Goods,6.0,28.0,14,42.97,25.45,48.0
GODREJAGRO,Fast Moving Consumer Goods,15.0,17.0,16,67.65,11.67,48.0
LICHSGFIN,Financial Services,24.0,14.7,9,45.24,42.17,47.7
ALUFLUOR,Chemicals,3.0,29.7,15,59.93,1.33,47.7
VIMTALABS,Healthcare,3.5,30.0,14,35.89,4.7,47.5
DENTA,Utilities,3.5,30.0,14,71.91,0.63,47.5
NESTLEIND,Fast Moving Consumer Goods,4.5,29.0,14,62.76,21.91,47.5
GPTHEALTH,Healthcare,4.0,29.3,14,65.57,8.93,47.3
AMIC,Capital Goods,3.0,33.3,11,57.96,0.63,47.3
EMIL,Consumer Services,19.2,14.0,14,65.17,25.08,47.2
SHAWGELTIN,Chemicals,4.0,27.2,16,75.0,0.01,47.2
GULFOILLUB,"Oil, Gas & Consumable Fuels",3.0,30.0,14,67.11,17.35,47.0
GREENPLY,Consumer Durables,21.0,12.0,14,51.8,36.47,47.0
JUBLFOOD,Consumer Services,18.0,18.0,11,40.27,53.38,47.0
METROPOLIS,Healthcare,12.0,23.0,12,48.87,46.41,47.0
GSPL,"Oil, Gas & Consumable Fuels",11.0,26.0,10,37.63,40.57,47.0
IPCALAB,Healthcare,20.0,15.0,12,44.72,47.61,47.0
COCHINSHIP,Capital Goods,12.0,21.0,14,67.91,9.21,47.0
ARVIND,Textiles,17.0,19.0,11,39.53,35.81,47.0
EPIGRAL,Chemicals,4.0,27.0,16,68.83,7.49,47.0
ORICONENT,Capital Goods,17.0,16.0,14,65.7,0.42,47.0
RMC,Capital Goods,3.5,33.3,10,52.09,3.09,46.8
RAMKY,Construction,10.0,21.7,15,69.81,2.03,46.7
360ONE,Financial Services,17.6,23.0,6,6.25,76.33,46.6
HAPPYFORGE,Capital Goods,3.5,27.0,16,78.5,18.57,46.5
HYUNDAI,Automobile and Auto Components,3.5,28.0,15,82.5,15.02,46.5
CUPID,Fast Moving Consumer Goods,3.5,28.0,15,45.95,0.99,46.5
HIRECT,Capital Goods,2.5,30.0,14,43.93,6.34,46.5
UNIPARTS,Automobile and Auto Components,6.4,23.0,17,65.89,7.34,46.4
KRSNAA,Healthcare,16.0,18.3,12,27.11,18.02,46.3
PREVEST,Healthcare,4.0,26.3,16,73.6,1.42,46.3
VTL,Textiles,12.0,19.0,15,64.44,22.06,46.0
APOLLOTYRE,Automobile and Auto Components,19.0,17.0,10,36.93,40.15,46.0
GAEL,Fast Moving Consumer Goods,11.0,19.0,16,63.84,2.17,46.0
HESTERBIO,Healthcare,13.0,17.0,16,53.73,0.53,46.0
PREMEXPLN,Chemicals,19.0,16.0,11,41.33,10.14,46.0
SBFC,Financial Services,4.0,32.0,10,52.82,26.41,46.0
MRF,Automobile and Auto Components,16.0,19.0,11,27.73,30.68,46.0
PENIND,Capital Goods,20.0,14.0,12,39.67,7.2,46.0
DABUR,Fast Moving Consumer Goods,11.0,20.0,15,66.23,28.34,46.0
JMA,Automobile and Auto Components,17.0,14.9,14,51.0,0.06,45.9
BLIL,Financial Services,16.0,14.7,15,59.67,1.09,45.7
KPGEL,Capital Goods,3.0,30.7,12,66.61,0.44,45.7
LUXIND,Textiles,5.6,26.0,14,74.19,5.77,45.6
UNIMECH,Capital Goods,3.5,25.0,17,79.82,6.86,45.5
AKSHARCHEM,Chemicals,3.5,26.0,16,62.7,0.06,45.5
DPABHUSHAN,Consumer Durables,2.5,26.0,17,74.88,0.22,45.5
VIDHIING,Chemicals,11.2,19.0,15,64.28,0.1,45.2
WELSPUNLIV,Textiles,9.0,21.0,15,66.24,15.46,45.0
BLSE,Information Technology,2.0,27.0,16,68.89,1.1,45.0
AUBANK,Financial Services,10.0,30.0,5,22.79,67.72,45.0
GUJGASLTD,"Oil, Gas & Consumable Fuels",9.0,21.0,15,60.89,18.88,45.0
ISGEC,Construction,10.0,21.0,14,62.43,14.07,45.0
VAIBHAVGBL,Consumer Durables,13.0,17.0,15,57.11,19.73,45.0
KAJARIACER,Consumer Durables,14.0,18.0,13,47.69,37.96,45.0
VOLTAS,Consumer Durables,20.0,17.0,8,30.3,56.15,45.0
BAJAJINDEF,Capital Goods,5.0,24.0,16,69.61,1.56,45.0
MGL,"Oil, Gas & Consumable Fuels",3.5,30.0,11,32.5,45.72,44.5
SGRL,Healthcare,3.5,25.0,16,72.8,0.0,44.5
SPITZE,Consumer Durables,2.5,28.0,14,74.99,0.0,44.5
ARE&M,Automobile and Auto Components,14.4,18.0,12,32.86,34.49,44.4
AKCAPIT,Financial Services,9.0,20.0,15,72.09,0.0,44.0
HERITGFOOD,Fast Moving Consumer Goods,9.0,20.0,15,41.3,8.83,44.0
LUPIN,Healthcare,10.0,22.0,12,46.89,47.08,44.0
ADVENZYMES,Healthcare,10.0,20.0,14,43.04,31.36,44.0
KPIL,Construction,15.0,17.0,12,33.57,55.63,44.0
STYRENIX,Chemicals,2.0,29.0,13,46.24,16.97,44.0
GODREJCP,Fast Moving Consumer Goods,12.0,18.0,14,53.06,31.9,44.0
CARRARO,Automobile and Auto Components,2.0,27.0,15,68.77,19.83,44.0
GRAPHITE,Capital Goods,15.0,16.0,13,65.34,16.45,44.0
JKPAPER,Forest Materials,16.0,14.9,13,49.63,17.93,43.9
INDIAGLYCO,Fast Moving Consumer Goods,16.0,13.7,14,59.63,7.64,43.7
COMSYN,Capital Goods,13.6,16.0,14,58.79,0.0,43.6
PLATIND,Chemicals,2.5,27.0,14,70.03,3.57,43.5
ANUP,Capital Goods,3.5,28.0,12,40.92,20.14,43.5
5PAISA,Financial Services,14.0,18.3,11,32.78,12.37,43.3
PNCINFRA,Construction,11.0,20.0,12,56.07,33.17,43.0
DELTACORP,Consumer Services,12.0,16.0,15,34.46,1.88,43.0
ICICIPRULI,Financial Services,10.0,20.0,13,72.88,21.89,43.0
GABRIEL,Automobile and Auto Components,2.0,28.0,13,55.0,22.69,43.0
VSTIND,Fast Moving Consumer Goods,4.0,28.8,10,32.16,7.53,42.8
SYNGENE,Healthcare,12.8,17.0,13,52.68,40.79,42.8
PFIZER,Healthcare,2.5,27.2,13,63.92,19.76,42.7
J&KBANK,Financial Services,16.0,14.7,12,59.4,13.98,42.7
FIVESTAR,Financial Services,6.5,32.0,4,18.56,67.69,42.5
JKIL,Construction,2.5,27.0,13,46.64,27.99,42.5
SKFINDIA,Capital Goods,3.5,26.0,13,52.58,33.75,42.5
WSTCSTPAPR,Forest Materials,10.4,17.0,15,56.55,15.91,42.4
FDC,Healthcare,10.0,15.0,17,69.66,8.59,42.0
GENESYS,Information Technology,20.0,13.0,9,31.52,7.3,42.0
MATRIMONY,Consumer Services,11.0,16.0,15,56.96,27.27,42.0
ZFCVINDIA,Automobile and Auto Components,2.0,28.0,12,60.0,32.05,42.0
AFSL,Financial Services,8.0,20.0,14,71.36,17.03,42.0
TRIDENT,Textiles,8.0,17.0,17,73.68,3.35,42.0
KRITINUT,Fast Moving Consumer Goods,2.0,24.0,16,66.69,0.0,42.0
PRAKASH,Metals & Mining,6.0,24.0,12,44.38,4.05,42.0
CARBORUNIV,Capital Goods,12.0,20.0,10,38.9,40.99,42.0
GANECOS,Textiles,12.8,16.0,13,39.33,29.08,41.8
GIPCL,Power,8.0,18.7,15,56.57,7.59,41.7
BBOX,Information Technology,5.0,20.6,16,70.11,5.89,41.6
UNIECOM,Information Technology,2.5,28.0,11,36.01,5.49,41.5
SANOFI,Healthcare,4.5,23.0,14,60.4,26.85,41.5
MENNPIS,Automobile and Auto Components,2.5,23.0,16,74.37,0.0,41.5
SHAILY,Capital Goods,2.5,26.0,13,43.39,25.65,41.5
VRAJ,Metals & Mining,2.0,23.0,16,74.96,3.88,41.0
MIDHANI,Capital Goods,8.0,17.0,16,74.0,9.17,41.0
ATUL,Chemicals,8.0,20.0,13,45.22,32.86,41.0
CESC,Power,11.0,17.0,13,52.11,37.49,41.0
SATIN,Financial Services,6.0,24.0,11,36.17,8.73,41.0
OPTIEMUS,Telecommunication,15.0,12.0,14,72.17,4.45,41.0
NILAINFRA,Realty,3.0,24.0,14,61.9,0.28,41.0
JTEKTINDIA,Automobile and Auto Components,13.0,13.0,15,74.98,11.58,41.0
KRYSTAL,Services,1.5,23.0,16,69.96,6.02,40.5
INDIGOPNTS,Consumer Durables,2.5,24.0,14,53.88,32.34,40.5
SANGHVIMOV,Services,3.5,21.7,15,47.25,2.86,40.2
IPL,Chemicals,2.0,21.0,17,63.65,1.91,40.0
APLLTD,Healthcare,10.0,15.0,15,69.74,20.4,40.0
JWL,Capital Goods,2.0,21.0,17,68.31,5.23,40.0
AARTIDRUGS,Healthcare,9.0,16.0,15,55.03,12.27,40.0
EDELWEISS,Financial Services,8.0,23.0,9,32.69,24.16,40.0
HATSUN,Fast Moving Consumer Goods,2.0,24.0,14,73.17,13.48,40.0
SUPRAJIT,Automobile and Auto Components,14.0,14.0,12,45.14,23.89,40.0
KELLTONTEC,Information Technology,9.0,21.0,10,37.67,1.21,40.0
TECHM,Information Technology,10.0,19.0,11,34.97,55.73,40.0
IDBI,Financial Services,11.0,14.7,14,94.72,0.64,39.7
PNBHOUSING,Financial Services,14.4,17.3,8,28.04,60.24,39.7
UNITEDTEA,Fast Moving Consumer Goods,3.0,25.6,11,49.79,3.92,39.6
LINC,Fast Moving Consumer Goods,2.5,19.0,18,61.02,0.92,39.5
UNITEDPOLY,Textiles,1.5,24.0,14,51.51,8.23,39.5
NIITMTS,Consumer Services,3.5,25.0,11,34.19,41.4,39.5
BANKINDIA,Financial Services,14.0,13.3,12,73.38,21.0,39.3
M&MFIN,Financial Services,15.0,13.3,11,52.49,41.45,39.3
KENNAMET,Capital Goods,2.5,21.7,15,75.0,14.57,39.2
CREDITACC,Financial Services,10.4,17.6,11,66.28,24.91,39.0
KEC,Construction,12.0,16.0,11,50.1,37.22,39.0
BENGALASM,Financial Services,3.0,20.0,16,72.88,4.44,39.0
BATAINDIA,Consumer Durables,7.0,19.0,13,50.16,35.49,39.0
BALRAMCHIN,Fast Moving Consumer Goods,4.0,24.0,11,42.86,38.05,39.0
UBL,Fast Moving Consumer Goods,8.0,17.0,14,70.84,22.95,39.0
BEEZAASAN,Chemicals,1.5,25.3,12,70.68,6.79,38.8
REMSONSIND,Automobile and Auto Components,1.5,20.0,17,66.24,4.52,38.5
RVTH,Capital Goods,2.5,21.0,15,63.9,0.0,38.5
AUROPHARMA,Healthcare,8.0,17.0,13,51.82,41.61,38.0
INDOUS,Fast Moving Consumer Goods,2.0,24.0,12,70.18,0.0,38.0
ORIENTPPR,Forest Materials,4.0,24.0,10,38.73,0.79,38.0
MFSL,Financial Services,13.0,17.0,8,1.25,92.48,38.0
LTF,Financial Services,7.0,18.7,12,66.03,21.99,37.7
VVIPIL,Utilities,2.5,24.0,11,68.49,5.83,37.5
RADIANTCMS,Services,3.5,19.0,15,56.92,1.12,37.5
PESB,Financial Services,2.0,25.3,10,51.11,0.51,37.3
XCHANGING,Information Technology,7.0,15.0,15,75.0,0.3,37.0
INDSWFTLAB,Healthcare,5.0,20.0,12,43.05,13.96,37.0
FORBESCO,Consumer Durables,5.0,18.0,14,73.85,8.43,37.0
HUHTAMAKI,Capital Goods,2.0,18.0,17,67.73,2.24,37.0
AFCONS,Construction,8.8,15.0,13,50.17,32.41,36.8
UCOBANK,Financial Services,0.0,22.7,14,90.95,4.55,36.7
KRBL,Fast Moving Consumer Goods,3.0,18.0,15,60.17,8.23,36.0
BHARATRAS,Chemicals,4.0,17.0,15,74.99,2.95,36.0
PASHUPATI,Textiles,0.0,22.0,14,65.99,13.6,36.0
JMFINANCIL,Financial Services,3.0,22.0,11,56.9,23.47,36.0
VSTTILLERS,Capital Goods,1.0,21.0,14,55.61,22.2,36.0
COSMOFIRST,Capital Goods,7.0,14.9,14,40.86,3.51,35.9
SERVOTECH,Capital Goods,1.5,22.0,12,58.61,0.73,35.5
KOTHARIPET,Chemicals,1.5,20.0,14,72.22,0.09,35.5
EVEREADY,Fast Moving Consumer Goods,5.0,16.0,14,43.21,7.81,35.0
MINDTECK,Information Technology,8.0,11.0,16,64.2,0.07,35.0
REPCOHOME,Financial Services,11.0,16.0,8,37.13,36.42,35.0
SATTRIX,Information Technology,2.0,20.0,13,74.96,0.02,35.0
CENTRALBK,Financial Services,7.0,16.0,12,89.27,5.67,35.0
SSWL,Automobile and Auto Components,2.0,16.0,17,61.15,13.04,35.0
BABA,"Media, Entertainment & Publication",2.0,18.7,14,74.68,0.0,34.7
LAXMIDENTL,Healthcare,6.4,17.1,11,41.7,43.27,34.5
PERMAGN,Capital Goods,2.5,17.0,15,58.01,0.01,34.5
INNOVATORS,Capital Goods,9.0,13.3,12,63.71,0.49,34.3
RALLIS,Chemicals,7.0,15.0,12,55.08,23.38,34.0
NHPC,Power,5.0,14.0,15,67.4,20.7,34.0
HARIOMPIPE,Capital Goods,2.0,17.0,15,57.27,9.28,34.0
IOC,"Oil, Gas & Consumable Fuels",6.0,14.0,14,51.5,18.57,34.0
MOIL,Metals & Mining,4.0,14.9,15,64.68,11.64,33.9
STARPAPER,Forest Materials,2.0,20.8,11,44.93,1.69,33.8
WIMPLAST,Consumer Durables,5.0,13.7,15,55.99,3.81,33.7
KAMDHENU,Capital Goods,1.5,19.0,13,49.03,2.53,33.5
KIRLFER,Metals & Mining,1.0,18.0,14,50.82,13.71,33.0
TCIEXP,Services,2.0,16.0,15,69.46,10.21,33.0
ACI,Chemicals,2.5,18.3,12,53.43,36.34,32.8
GICRE,Financial Services,4.0,13.7,15,82.4,15.44,32.7
GVT&D,Capital Goods,5.0,18.7,9,51.0,41.73,32.7
PARAGMILK,Fast Moving Consumer Goods,5.0,16.0,11,40.65,15.42,32.0
DCMSHRIRAM,Diversified,7.0,10.0,15,66.53,12.29,32.0
UTTAMSUGAR,Fast Moving Consumer Goods,2.0,15.0,15,74.39,0.04,32.0
THOMASCOOK,Consumer Services,2.0,17.0,13,63.83,14.11,32.0
PRECWIRE,Capital Goods,0.5,17.3,14,56.61,1.38,31.8
PFS,Financial Services,6.0,10.7,15,64.99,7.23,31.7
MANAPPURAM,Financial Services,10.0,14.7,7,35.25,39.93,31.7
JKLAKSHMI,Construction Materials,8.0,13.0,10,45.12,35.52,31.0
WEL,Consumer Durables,3.0,12.8,14,71.79,9.52,29.8
DCMSRIND,Fast Moving Consumer Goods,3.0,12.0,13,50.11,14.21,28.0
SANATHAN,Textiles,1.0,13.0,14,78.58,13.5,28.0
AARTIPHARM,Healthcare,2.5,14.7,10,43.1,15.35,27.2
DICIND,Chemicals,1.5,13.3,11,71.75,0.0,25.8
